,amoxicillin,ampicillin,aztreonam,cefepime,cefotaxime,cefoxitin,ceftazidime,cefuroxime,ciprofloxacin,gentamicin,piperacillin,tobramycin,trimethoprim,sulfamethoxazole
575,1,,,,0,,0,0,0,0,0,,,
576,1,,,,0,,0,1,1,0,0,,,
577,1,,,,0,,0,0,0,0,0,,,
578,1,,,,0,,0,0,0,0,0,,,
579,1,,,,0,,0,1,0,0,,,,
580,1,,,,0,,0,0,1,0,0,,,
581,1,,,,0,,0,0,0,0,0,,,
582,1,,,,1,,0,1,1,0,1,,,
583,1,,,,0,,0,0,0,0,0,,,
584,1,,,,1,,,1,1,0,0,,,
585,1,,,,0,,0,0,0,0,0,,,
586,1,,,,0,,0,0,0,0,,,,
587,1,,,,0,,0,0,0,0,0,,,
588,1,,,,0,,0,0,0,0,0,,,
589,1,,,,0,,0,0,0,0,0,,,
590,1,,,,,,0,1,0,0,,,,
591,1,,,,0,,0,0,0,0,0,,,
592,1,,,,0,,0,1,0,0,0,,,
